state,db1,db2,suntime,ks_test_stat,ks_p_val
FL,FL_Spring_GPS,FL_Spring_Cam,FALSE,0.0856304576388816,0.5217
FL,FL_Fall_GPS_Female,FL_Fall_GPS_Male,FALSE,0.0457815346792776,0.729
FL,FL_Spring_GPS_Female,FL_Spring_GPS_Male,FALSE,0.0420398771029595,0.7412
FL,FL_Summer_GPS_Female,FL_Summer_GPS_Male,FALSE,0.0439376584482262,0.6659
FL,FL_Winter_GPS_Female,FL_Winter_GPS_Male,FALSE,0.0694584165144291,0.638
FL,FL_Spring_GPS,FL_Summer_GPS,FALSE,0.0333242440773115,0.6092
FL,FL_Spring_GPS,FL_Fall_GPS,FALSE,0.0966953803728707,0.5264
FL,FL_Spring_GPS,FL_Winter_GPS,FALSE,0.105178942655078,0.5127
FL,FL_Summer_GPS,FL_Fall_GPS,FALSE,0.109438169997657,0.5388
FL,FL_Summer_GPS,FL_Winter_GPS,FALSE,0.120915862458735,0.5396
FL,FL_Fall_GPS,FL_Winter_GPS,FALSE,0.0431341606769561,0.6023
FL,FL_Spring_GPS_Female_2015,FL_Spring_GPS_Female_2016,FALSE,0.0761794009991189,0.6548
FL,FL_Spring_GPS_Female_2016,FL_Spring_GPS_Female_2017,FALSE,0.0297969119847293,0.77
FL,FL_Spring_GPS_Female_2015,FL_Spring_GPS_Female_2017,FALSE,0.100734411425499,0.5982
FL,FL_Summer_GPS_Female_2015,FL_Summer_GPS_Female_2016,FALSE,0.0670714158252503,0.6243
FL,FL_Summer_GPS_Female_2015,FL_Summer_GPS_Female_2017,FALSE,0.102824721382942,0.5738
FL,FL_Summer_GPS_Female_2016,FL_Summer_GPS_Female_2017,FALSE,0.0720716691362241,0.4955
FL,FL_Fall_GPS_Female_2016,FL_Fall_GPS_Female_2017,FALSE,0.0563823310124273,0.773
FL,FL_Spring_GPS_Male_2015,FL_Spring_GPS_Male_2016,FALSE,0.0756447381176425,0.5392
FL,FL_Spring_GPS_Male_2016,FL_Spring_GPS_Male_2017,FALSE,0.0918194904237355,0.507
FL,FL_Spring_GPS_Male_2015,FL_Spring_GPS_Male_2017,FALSE,0.164326524994299,0.5019
FL,FL_Summer_GPS_Male_2015,FL_Summer_GPS_Male_2016,FALSE,0.0271869941483125,0.9512
FL,FL_Summer_GPS_Male_2016,FL_Summer_GPS_Male_2017,FALSE,0.0581156309965093,0.8654
FL,FL_Summer_GPS_Male_2015,FL_Summer_GPS_Male_2017,FALSE,0.0470024771514342,0.7914
FL,FL_Spring_GPS_suntime,FL_Summer_GPS_suntime,TRUE,0.0328425349683611,0.6079
FL,FL_Spring_GPS_suntime,FL_Fall_GPS_suntime,TRUE,0.0311718226699715,0.7716
FL,FL_Spring_GPS_suntime,FL_Winter_GPS_suntime,TRUE,0.0698620459949489,0.5252
FL,FL_Summer_GPS_suntime,FL_Fall_GPS_suntime,TRUE,0.0514507866309749,0.6032
FL,FL_Summer_GPS_suntime,FL_Winter_GPS_suntime,TRUE,0.0871492529839342,0.5603
FL,FL_Fall_GPS_suntime,FL_Winter_GPS_suntime,TRUE,0.0592619536180551,0.5142
CA,CA_Spring_GPS,CA_Summer_GPS,FALSE,0.0984220492444847,0.5795
CA,CA_Spring_GPS,CA_Fall_GPS,FALSE,0.0742783115051446,0.8275
CA,CA_Spring_GPS,CA_Winter_GPS,FALSE,0.129077628349513,0.5952
CA,CA_Summer_GPS,CA_Fall_GPS,FALSE,0.146376260903728,0.578
CA,CA_Summer_GPS,CA_Winter_GPS,FALSE,0.153304329597359,0.7484
CA,CA_Fall_GPS,CA_Winter_GPS,FALSE,0.0578126680675347,0.7684
CA,CA_Spring_GPS,CA_Spring_Cam,FALSE,0.127902981883123,0.5229
CA,CA_Summer_GPS,CA_Summer_Cam,FALSE,0.0851078661044365,0.5941
CA,CA_Fall_GPS,CA_Fall_Cam,FALSE,0.233963500315713,0.5158
CA,CA_Winter_GPS,CA_Winter_Cam,FALSE,0.156798350597997,0.5442
CA,CA_Spring_GPS_suntime,CA_Summer_GPS_suntime,TRUE,0.10879126732703,0.595
CA,CA_Spring_GPS_suntime,CA_Fall_GPS_suntime,TRUE,0.0560868297727495,0.8531
CA,CA_Spring_GPS_suntime,CA_Winter_GPS_suntime,TRUE,0.0643274234394365,0.8857
CA,CA_Summer_GPS_suntime,CA_Fall_GPS_suntime,TRUE,0.0868653026894291,0.6488
CA,CA_Summer_GPS_suntime,CA_Winter_GPS_suntime,TRUE,0.0765787747522775,0.8545
CA,CA_Fall_GPS_suntime,CA_Winter_GPS_suntime,TRUE,0.0515119777831539,0.818
