Zone,Species,timeRad,ImageDate,LocationName
1,Wild_pig,0.02443,12/01/2015,16
1,Wild_pig,0.1493,12/01/2015,26
1,Wild_pig,0.17526,12/01/2015,39
1,Wild_pig,0.22166,12/01/2015,34
1,Wild_pig,0.39641,12/01/2015,22
1,Wild_pig,0.4404,12/01/2015,26
1,Wild_pig,0.50135,12/01/2015,16
1,Wild_pig,1.94699,12/01/2015,21
1,Wild_pig,2.02727,12/01/2015,23
1,Wild_pig,2.0973,12/01/2015,38
1,Wild_pig,4.73595,12/01/2015,21
1,Wild_pig,4.76162,12/01/2015,23
1,Wild_pig,4.83114,12/01/2015,16
1,Wild_pig,5.19795,12/01/2015,11
1,Wild_pig,5.30747,12/01/2015,19
1,Wild_pig,5.32449,12/01/2015,40
1,Wild_pig,5.48062,12/01/2015,16
1,Wild_pig,5.76577,12/01/2015,10
1,Wild_pig,5.84336,12/01/2015,21
1,Wild_pig,5.99157,12/01/2015,38
1,Wild_pig,6.11338,12/01/2015,16
1,Wild_pig,0.36077,12/02/2015,34
1,Wild_pig,0.46506,12/02/2015,39
1,Wild_pig,0.49611,12/02/2015,35
1,Wild_pig,0.5148,12/02/2015,16
1,Wild_pig,1.15054,12/02/2015,26
1,Wild_pig,1.63879,12/02/2015,43
1,Wild_pig,1.65784,12/02/2015,8
1,Wild_pig,4.7433,12/02/2015,16
1,Wild_pig,4.84082,12/02/2015,8
1,Wild_pig,4.92401,12/02/2015,16
1,Wild_pig,4.9875,12/02/2015,20
1,Wild_pig,5.10269,12/02/2015,38
1,Wild_pig,5.14167,12/02/2015,16
1,Wild_pig,5.61836,12/02/2015,16
1,Wild_pig,5.73573,12/02/2015,39
1,Wild_pig,0.37437,12/03/2015,10
1,Wild_pig,0.56018,12/03/2015,40
1,Wild_pig,0.8267,12/03/2015,16
1,Wild_pig,0.97469,12/03/2015,38
1,Wild_pig,1.15214,12/03/2015,26
1,Wild_pig,1.41728,12/03/2015,16
1,Wild_pig,1.64235,12/03/2015,38
1,Wild_pig,1.81602,12/03/2015,11
1,Wild_pig,4.83602,12/03/2015,16
1,Wild_pig,5.62578,12/03/2015,16
1,Wild_pig,0.27896,12/04/2015,26
1,Wild_pig,0.37161,12/04/2015,16
1,Wild_pig,1.17562,12/04/2015,26
1,Wild_pig,1.26042,12/04/2015,15
1,Wild_pig,1.33089,12/04/2015,38
1,Wild_pig,1.63436,12/04/2015,42
1,Wild_pig,2.48739,12/04/2015,8
1,Wild_pig,5.863,12/04/2015,26
1,Wild_pig,5.90161,12/04/2015,14
1,Wild_pig,6.14218,12/04/2015,44
1,Wild_pig,6.21788,12/04/2015,16
1,Wild_pig,6.22872,12/04/2015,39
1,Wild_pig,0.28667,12/05/2015,15
1,Wild_pig,0.60388,12/05/2015,44
1,Wild_pig,0.67632,12/05/2015,38
1,Wild_pig,0.92721,12/05/2015,39
1,Wild_pig,1.07018,12/05/2015,39
1,Wild_pig,1.15184,12/05/2015,34
1,Wild_pig,1.81798,12/05/2015,16
1,Wild_pig,1.92561,12/05/2015,37
1,Wild_pig,4.68868,12/05/2015,39
