Zone,Species,timeRad,ImageDate,LocationName
1,Wild_pig,0.32281,3/21/2016,16
1,Wild_pig,0.67202,3/21/2016,20
1,Wild_pig,1.18013,3/21/2016,12
1,Wild_pig,1.34652,3/21/2016,12
1,Wild_pig,1.40884,3/21/2016,40
1,Wild_pig,1.91943,3/21/2016,21
1,Wild_pig,1.93564,3/21/2016,17
1,Wild_pig,2.06916,3/21/2016,34
1,Wild_pig,2.07294,3/21/2016,13
1,Wild_pig,2.2258,3/21/2016,13
1,Wild_pig,2.74155,3/21/2016,35
1,Wild_pig,4.90583,3/21/2016,11
1,Wild_pig,4.95521,3/21/2016,12
1,Wild_pig,5.07876,3/21/2016,38
1,Wild_pig,5.13549,3/21/2016,27
1,Wild_pig,5.28849,3/21/2016,38
1,Wild_pig,5.36543,3/21/2016,34
1,Wild_pig,5.46739,3/21/2016,2
1,Wild_pig,5.6012,3/21/2016,40
1,Wild_pig,5.64905,3/21/2016,16
1,Wild_pig,5.86911,3/21/2016,39
1,Wild_pig,5.90903,3/21/2016,14
1,Wild_pig,6.09491,3/21/2016,2
1,Wild_pig,6.11563,3/21/2016,40
1,Wild_pig,6.19032,3/21/2016,14
1,Wild_pig,0.8254,3/22/2016,19
1,Wild_pig,0.95004,3/22/2016,40
1,Wild_pig,1.18239,3/22/2016,40
1,Wild_pig,3.96022,3/22/2016,37
1,Wild_pig,4.37903,3/22/2016,5
1,Wild_pig,4.78802,3/22/2016,38
1,Wild_pig,5.38347,3/22/2016,9
1,Wild_pig,6.13287,3/22/2016,39
1,Wild_pig,6.18901,3/22/2016,38
1,Wild_pig,0.05243,3/23/2016,27
1,Wild_pig,0.05331,3/23/2016,38
1,Wild_pig,0.12908,3/23/2016,39
1,Wild_pig,0.13185,3/23/2016,12
1,Wild_pig,0.26202,3/23/2016,39
1,Wild_pig,0.37466,3/23/2016,38
1,Wild_pig,0.45917,3/23/2016,29
1,Wild_pig,0.53967,3/23/2016,37
1,Wild_pig,0.58061,3/23/2016,2
1,Wild_pig,1.25198,3/23/2016,4
1,Wild_pig,1.63043,3/23/2016,16
1,Wild_pig,1.74577,3/23/2016,26
1,Wild_pig,1.98924,3/23/2016,22
1,Wild_pig,3.03513,3/23/2016,37
1,Wild_pig,3.06545,3/23/2016,42
1,Wild_pig,3.80395,3/23/2016,37
1,Wild_pig,4.63989,3/23/2016,38
1,Wild_pig,4.85965,3/23/2016,16
1,Wild_pig,4.88532,3/23/2016,39
1,Wild_pig,4.93986,3/23/2016,37
1,Wild_pig,4.96997,3/23/2016,10
1,Wild_pig,4.98793,3/23/2016,17
1,Wild_pig,5.1192,3/23/2016,39
1,Wild_pig,5.19657,3/23/2016,2
1,Wild_pig,5.21323,3/23/2016,9
1,Wild_pig,5.3618,3/23/2016,15
1,Wild_pig,5.40339,3/23/2016,5
1,Wild_pig,5.45801,3/23/2016,2
1,Wild_pig,5.48426,3/23/2016,40
1,Wild_pig,5.52368,3/23/2016,4
1,Wild_pig,5.56316,3/23/2016,8
1,Wild_pig,5.62418,3/23/2016,38
1,Wild_pig,5.68599,3/23/2016,40
1,Wild_pig,5.71224,3/23/2016,2
1,Wild_pig,5.80853,3/23/2016,10
1,Wild_pig,5.94961,3/23/2016,16
1,Wild_pig,0.52164,3/24/2016,22
1,Wild_pig,0.60941,3/24/2016,40
1,Wild_pig,1.06261,3/24/2016,20
1,Wild_pig,1.15977,3/24/2016,22
1,Wild_pig,1.17039,3/24/2016,2
1,Wild_pig,1.26667,3/24/2016,12
1,Wild_pig,1.61603,3/24/2016,43
1,Wild_pig,1.9648,3/24/2016,37
1,Wild_pig,4.35649,3/24/2016,37
1,Wild_pig,5.1048,3/24/2016,40
1,Wild_pig,5.26602,3/24/2016,16
1,Wild_pig,5.50193,3/24/2016,16
1,Wild_pig,5.5932,3/24/2016,32
1,Wild_pig,5.86074,3/24/2016,14
1,Wild_pig,0.15475,3/25/2016,12
1,Wild_pig,0.52702,3/25/2016,8
1,Wild_pig,0.77485,3/25/2016,10
1,Wild_pig,1.00109,3/25/2016,2
1,Wild_pig,1.89063,3/25/2016,44
1,Wild_pig,3.59698,3/25/2016,4
1,Wild_pig,4.59822,3/25/2016,4
1,Wild_pig,5.28515,3/25/2016,40
1,Wild_pig,5.30369,3/25/2016,22
1,Wild_pig,5.55429,3/25/2016,34
1,Wild_pig,5.84765,3/25/2016,6
1,Wild_pig,6.07396,3/25/2016,13
1,Wild_pig,6.15178,3/25/2016,38
1,Wild_pig,6.17497,3/25/2016,42
1,Wild_pig,0.49771,3/26/2016,36
1,Wild_pig,0.51625,3/26/2016,22
1,Wild_pig,0.59952,3/26/2016,26
1,Wild_pig,0.60876,3/26/2016,4
1,Wild_pig,0.62694,3/26/2016,37
1,Wild_pig,0.63552,3/26/2016,30
1,Wild_pig,0.89615,3/26/2016,2
1,Wild_pig,0.89914,3/26/2016,30
1,Wild_pig,1.60701,3/26/2016,31
1,Wild_pig,1.68432,3/26/2016,5
1,Wild_pig,2.02422,3/26/2016,23
1,Wild_pig,2.17853,3/26/2016,23
1,Wild_pig,3.24384,3/26/2016,37
1,Wild_pig,3.45175,3/26/2016,5
1,Wild_pig,4.57582,3/26/2016,42
1,Wild_pig,4.96866,3/26/2016,22
1,Wild_pig,5.11229,3/26/2016,36
1,Wild_pig,5.20254,3/26/2016,37
1,Wild_pig,5.37561,3/26/2016,22
1,Wild_pig,0.3743,3/27/2016,16
1,Wild_pig,1.64541,3/27/2016,16
1,Wild_pig,1.93419,3/27/2016,44
1,Wild_pig,3.81449,3/27/2016,12
1,Wild_pig,5.20319,3/27/2016,32
1,Wild_pig,5.2938,3/27/2016,38
1,Wild_pig,5.55378,3/27/2016,37
1,Wild_pig,5.72955,3/27/2016,32
1,Wild_pig,5.82533,3/27/2016,12
1,Wild_pig,5.99193,3/27/2016,40
1,Wild_pig,6.17592,3/27/2016,12
1,Wild_pig,0.16842,3/28/2016,39
1,Wild_pig,0.27918,3/28/2016,26
1,Wild_pig,1.50724,3/28/2016,22
1,Wild_pig,1.84074,3/28/2016,16
1,Wild_pig,2.39328,3/28/2016,37
1,Wild_pig,4.94895,3/28/2016,36
1,Wild_pig,5.3562,3/28/2016,15
1,Wild_pig,5.81515,3/28/2016,34
1,Wild_pig,0.20719,3/29/2016,4
1,Wild_pig,0.73995,3/29/2016,4
1,Wild_pig,0.79631,3/29/2016,40
1,Wild_pig,1.35736,3/29/2016,39
1,Wild_pig,4.69275,3/29/2016,10
1,Wild_pig,4.92503,3/29/2016,15
1,Wild_pig,5.25228,3/29/2016,12
1,Wild_pig,5.26835,3/29/2016,19
1,Wild_pig,5.34158,3/29/2016,40
1,Wild_pig,5.43626,3/29/2016,16
1,Wild_pig,5.50731,3/29/2016,19
1,Wild_pig,5.54622,3/29/2016,34
1,Wild_pig,5.71624,3/29/2016,19
1,Wild_pig,5.93797,3/29/2016,22
1,Wild_pig,6.04466,3/29/2016,40
1,Wild_pig,0.00873,3/30/2016,12
1,Wild_pig,0.04858,3/30/2016,40
1,Wild_pig,0.24842,3/30/2016,34
1,Wild_pig,0.85921,3/30/2016,34
1,Wild_pig,1.06851,3/30/2016,34
1,Wild_pig,1.25533,3/30/2016,26
1,Wild_pig,1.49662,3/30/2016,39
1,Wild_pig,4.7686,3/30/2016,40
1,Wild_pig,5.58585,3/30/2016,7
1,Wild_pig,5.98306,3/30/2016,40
1,Wild_pig,6.17112,3/30/2016,20
1,Wild_pig,0.04211,3/31/2016,32
1,Wild_pig,0.5156,3/31/2016,12
1,Wild_pig,1.7025,3/31/2016,26
1,Wild_pig,5.40645,3/31/2016,22
1,Wild_pig,5.5724,3/31/2016,44
1,Wild_pig,5.60389,3/31/2016,36
1,Wild_pig,0.67959,4/1/2016,10
1,Wild_pig,0.70679,4/1/2016,39
1,Wild_pig,1.75086,4/1/2016,14
1,Wild_pig,1.76736,4/1/2016,26
1,Wild_pig,5.20086,4/1/2016,22
1,Wild_pig,5.24828,4/1/2016,4
1,Wild_pig,5.27904,4/1/2016,12
1,Wild_pig,5.64985,4/1/2016,39
1,Wild_pig,0.86554,4/2/2016,40
1,Wild_pig,2.10465,4/2/2016,6
1,Wild_pig,3.90059,4/2/2016,26
1,Wild_pig,4.01891,4/2/2016,37
1,Wild_pig,4.56927,4/2/2016,26
1,Wild_pig,4.95237,4/2/2016,5
1,Wild_pig,5.52411,4/2/2016,32
1,Wild_pig,5.53895,4/2/2016,22
1,Wild_pig,6.04,4/2/2016,12
1,Wild_pig,6.19308,4/2/2016,40
1,Wild_pig,0.08639,4/3/2016,44
1,Wild_pig,1.07767,4/3/2016,39
1,Wild_pig,1.07941,4/3/2016,40
1,Wild_pig,1.44259,4/3/2016,38
1,Wild_pig,4.86416,4/3/2016,34
1,Wild_pig,5.59509,4/3/2016,14
1,Wild_pig,6.05498,4/3/2016,16
1,Wild_pig,0.02138,4/4/2016,12
1,Wild_pig,0.85543,4/4/2016,38
1,Wild_pig,1.12057,4/4/2016,22
1,Wild_pig,1.26013,4/4/2016,37
1,Wild_pig,1.49211,4/4/2016,40
1,Wild_pig,1.55327,4/4/2016,24
1,Wild_pig,3.60694,4/4/2016,12
1,Wild_pig,4.96815,4/4/2016,32
1,Wild_pig,5.42579,4/4/2016,24
1,Wild_pig,5.63269,4/4/2016,28
1,Wild_pig,5.64781,4/4/2016,12
1,Wild_pig,5.69166,4/4/2016,38
1,Wild_pig,5.71152,4/4/2016,16
1,Wild_pig,0.16319,4/5/2016,27
1,Wild_pig,0.18639,4/5/2016,38
1,Wild_pig,0.24813,4/5/2016,5
1,Wild_pig,0.34179,4/5/2016,28
1,Wild_pig,0.75675,4/5/2016,12
1,Wild_pig,0.78365,4/5/2016,17
1,Wild_pig,1.24071,4/5/2016,22
1,Wild_pig,1.31663,4/5/2016,12
1,Wild_pig,1.50804,4/5/2016,40
1,Wild_pig,2.08552,4/5/2016,23
1,Wild_pig,2.23249,4/5/2016,23
1,Wild_pig,3.04487,4/5/2016,18
1,Wild_pig,3.18966,4/5/2016,18
1,Wild_pig,4.87943,4/5/2016,18
1,Wild_pig,5.09483,4/5/2016,40
1,Wild_pig,5.63487,4/5/2016,38
1,Wild_pig,5.68134,4/5/2016,14
1,Wild_pig,0.4516,4/6/2016,40
1,Wild_pig,0.60308,4/6/2016,8
1,Wild_pig,0.67326,4/6/2016,20
1,Wild_pig,0.98182,4/6/2016,16
1,Wild_pig,1.48397,4/6/2016,38
1,Wild_pig,1.85703,4/6/2016,21
1,Wild_pig,1.9592,4/6/2016,38
1,Wild_pig,2.66694,4/6/2016,37
1,Wild_pig,4.14356,4/6/2016,37
1,Wild_pig,4.31998,4/6/2016,15
1,Wild_pig,4.4751,4/6/2016,37
1,Wild_pig,4.92205,4/6/2016,29
1,Wild_pig,5.73013,4/6/2016,12
1,Wild_pig,5.85885,4/6/2016,28
1,Wild_pig,6.09971,4/6/2016,1
1,Wild_pig,6.20945,4/6/2016,38
