Zone,Species,timeRad,ImageDate,LocationName
1,Wild_pig,0.01229,6/21/2016,14
1,Wild_pig,0.56214,6/21/2016,43
1,Wild_pig,0.77718,6/21/2016,5
1,Wild_pig,1.61683,6/21/2016,35
1,Wild_pig,1.66075,6/21/2016,2
1,Wild_pig,3.28006,6/21/2016,40
1,Wild_pig,5.22123,6/21/2016,40
1,Wild_pig,5.73828,6/21/2016,34
1,Wild_pig,5.82256,6/21/2016,40
1,Wild_pig,5.86722,6/21/2016,27
1,Wild_pig,5.91194,6/21/2016,34
1,Wild_pig,5.96444,6/21/2016,33
1,Wild_pig,6.09054,6/21/2016,38
1,Wild_pig,6.25817,6/21/2016,24
1,Wild_pig,0.06785,6/22/2016,2
1,Wild_pig,0.15781,6/22/2016,37
1,Wild_pig,0.2242,6/22/2016,5
1,Wild_pig,0.24573,6/22/2016,33
1,Wild_pig,0.49167,6/22/2016,40
1,Wild_pig,0.50331,6/22/2016,26
1,Wild_pig,0.65821,6/22/2016,26
1,Wild_pig,1.00473,6/22/2016,38
1,Wild_pig,1.24006,6/22/2016,33
1,Wild_pig,1.54774,6/22/2016,24
1,Wild_pig,3.12828,6/22/2016,40
1,Wild_pig,5.05731,6/22/2016,40
1,Wild_pig,5.60905,6/22/2016,27
1,Wild_pig,5.90161,6/22/2016,36
1,Wild_pig,5.90445,6/22/2016,21
1,Wild_pig,5.90918,6/22/2016,22
1,Wild_pig,5.9403,6/22/2016,20
1,Wild_pig,6.08349,6/22/2016,6
1,Wild_pig,6.27373,6/22/2016,20
1,Wild_pig,0.26689,6/23/2016,2
1,Wild_pig,0.27365,6/23/2016,20
1,Wild_pig,1.57872,6/23/2016,40
1,Wild_pig,2.65508,6/23/2016,40
1,Wild_pig,4.95754,6/23/2016,32
1,Wild_pig,5.03818,6/23/2016,37
1,Wild_pig,5.09629,6/23/2016,40
1,Wild_pig,5.86416,6/23/2016,18
1,Wild_pig,0.06945,6/24/2016,26
1,Wild_pig,0.15759,6/24/2016,15
1,Wild_pig,0.58163,6/24/2016,34
1,Wild_pig,0.66308,6/24/2016,40
1,Wild_pig,0.83223,6/24/2016,40
1,Wild_pig,1.60687,6/24/2016,14
1,Wild_pig,1.60854,6/24/2016,16
1,Wild_pig,2.61007,6/24/2016,37
1,Wild_pig,2.80234,6/24/2016,37
1,Wild_pig,5.14756,6/24/2016,36
1,Wild_pig,5.37787,6/24/2016,31
1,Wild_pig,5.53778,6/24/2016,36
1,Wild_pig,5.86736,6/24/2016,16
1,Wild_pig,0.47226,6/25/2016,26
1,Wild_pig,0.54076,6/25/2016,20
1,Wild_pig,0.8675,6/25/2016,27
1,Wild_pig,0.88648,6/25/2016,12
1,Wild_pig,0.90895,6/25/2016,16
1,Wild_pig,1.21279,6/25/2016,16
1,Wild_pig,1.23358,6/25/2016,20
1,Wild_pig,1.30434,6/25/2016,40
1,Wild_pig,1.31423,6/25/2016,17
1,Wild_pig,1.49007,6/25/2016,33
1,Wild_pig,2.91594,6/25/2016,33
1,Wild_pig,4.92132,6/25/2016,40
1,Wild_pig,5.31489,6/25/2016,33
1,Wild_pig,5.74926,6/25/2016,40
1,Wild_pig,0.11366,6/26/2016,5
1,Wild_pig,0.41961,6/26/2016,16
1,Wild_pig,0.71217,6/26/2016,5
1,Wild_pig,0.99687,6/26/2016,16
1,Wild_pig,1.1317,6/26/2016,2
1,Wild_pig,1.54847,6/26/2016,20
1,Wild_pig,5.07978,6/26/2016,40
1,Wild_pig,5.54957,6/26/2016,40
1,Wild_pig,5.8867,6/26/2016,15
1,Wild_pig,6.00262,6/26/2016,27
1,Wild_pig,6.1973,6/26/2016,15
1,Wild_pig,0.11294,6/27/2016,15
1,Wild_pig,0.41582,6/27/2016,36
1,Wild_pig,1.11476,6/27/2016,16
1,Wild_pig,1.1629,6/27/2016,20
1,Wild_pig,1.49989,6/27/2016,20
1,Wild_pig,1.90314,6/27/2016,18
1,Wild_pig,1.98444,6/27/2016,35
1,Wild_pig,2.14421,6/27/2016,37
1,Wild_pig,4.26922,6/27/2016,35
1,Wild_pig,4.626,6/27/2016,5
1,Wild_pig,4.95114,6/27/2016,35
1,Wild_pig,5.19468,6/27/2016,8
1,Wild_pig,5.44579,6/27/2016,40
1,Wild_pig,5.83107,6/27/2016,16
1,Wild_pig,5.97252,6/27/2016,39
1,Wild_pig,0.33401,6/28/2016,5
1,Wild_pig,0.57581,6/28/2016,40
1,Wild_pig,0.61079,6/28/2016,38
1,Wild_pig,2.37816,6/28/2016,40
1,Wild_pig,4.96408,6/28/2016,5
1,Wild_pig,5.25584,6/28/2016,37
1,Wild_pig,5.47335,6/28/2016,5
1,Wild_pig,5.47546,6/28/2016,27
1,Wild_pig,5.60353,6/28/2016,16
1,Wild_pig,5.60432,6/28/2016,5
1,Wild_pig,5.74461,6/28/2016,16
1,Wild_pig,5.81776,6/28/2016,39
1,Wild_pig,6.03673,6/28/2016,21
1,Wild_pig,6.08734,6/28/2016,40
1,Wild_pig,6.22901,6/28/2016,16
1,Wild_pig,6.25141,6/28/2016,22
1,Wild_pig,0.11003,6/29/2016,27
1,Wild_pig,0.61886,6/29/2016,2
1,Wild_pig,0.62912,6/29/2016,16
1,Wild_pig,0.63843,6/29/2016,24
1,Wild_pig,0.8899,6/29/2016,27
1,Wild_pig,1.08574,6/29/2016,8
1,Wild_pig,1.21591,6/29/2016,16
1,Wild_pig,1.3234,6/29/2016,20
1,Wild_pig,1.64694,6/29/2016,22
1,Wild_pig,1.69559,6/29/2016,16
1,Wild_pig,1.85485,6/29/2016,16
1,Wild_pig,4.353,6/29/2016,35
1,Wild_pig,4.62352,6/29/2016,35
1,Wild_pig,5.05891,6/29/2016,9
1,Wild_pig,5.10589,6/29/2016,40
1,Wild_pig,5.17737,6/29/2016,15
1,Wild_pig,5.17766,6/29/2016,27
1,Wild_pig,5.78977,6/29/2016,33
1,Wild_pig,0.04676,6/30/2016,20
1,Wild_pig,0.24784,6/30/2016,40
1,Wild_pig,0.48527,6/30/2016,26
1,Wild_pig,0.66192,6/30/2016,40
1,Wild_pig,1.40695,6/30/2016,26
1,Wild_pig,1.61298,6/30/2016,37
1,Wild_pig,1.81332,6/30/2016,14
1,Wild_pig,1.86103,6/30/2016,17
1,Wild_pig,4.59385,6/30/2016,39
1,Wild_pig,4.69574,6/30/2016,40
1,Wild_pig,5.65792,6/30/2016,39
1,Wild_pig,0.02567,7/1/2016,27
1,Wild_pig,0.0781,7/1/2016,12
1,Wild_pig,0.22471,7/1/2016,27
1,Wild_pig,1.51415,7/1/2016,27
1,Wild_pig,1.63668,7/1/2016,24
1,Wild_pig,1.65355,7/1/2016,18
1,Wild_pig,4.94983,7/1/2016,21
1,Wild_pig,4.98713,7/1/2016,16
1,Wild_pig,5.58607,7/1/2016,41
1,Wild_pig,6.12843,7/1/2016,27
1,Wild_pig,0.12894,7/2/2016,16
1,Wild_pig,0.63268,7/2/2016,39
1,Wild_pig,0.9131,7/2/2016,12
1,Wild_pig,0.97484,7/2/2016,16
1,Wild_pig,1.38361,7/2/2016,40
1,Wild_pig,4.92837,7/2/2016,12
1,Wild_pig,5.11352,7/2/2016,26
1,Wild_pig,5.3042,7/2/2016,26
1,Wild_pig,0.37975,7/3/2016,37
1,Wild_pig,0.80525,7/3/2016,27
1,Wild_pig,1.06501,7/3/2016,27
1,Wild_pig,1.70337,7/3/2016,18
1,Wild_pig,4.84227,7/3/2016,31
1,Wild_pig,5.82285,7/3/2016,18
1,Wild_pig,5.92285,7/3/2016,38
1,Wild_pig,0.35096,7/4/2016,27
1,Wild_pig,1.94161,7/4/2016,38
1,Wild_pig,2.93739,7/4/2016,15
1,Wild_pig,4.94408,7/4/2016,5
1,Wild_pig,5.20464,7/4/2016,5
1,Wild_pig,0.37634,7/5/2016,14
1,Wild_pig,0.6337,7/5/2016,27
1,Wild_pig,1.32754,7/5/2016,27
1,Wild_pig,1.723,7/5/2016,22
1,Wild_pig,1.95295,7/5/2016,5
1,Wild_pig,2.11919,7/5/2016,5
1,Wild_pig,3.57196,7/5/2016,40
1,Wild_pig,5.85471,7/5/2016,12
1,Wild_pig,6.12807,7/5/2016,5
1,Wild_pig,1.07294,7/6/2016,27
1,Wild_pig,1.31292,7/6/2016,14
1,Wild_pig,1.60723,7/6/2016,21
1,Wild_pig,2.25875,7/6/2016,40
1,Wild_pig,4.99361,7/6/2016,10
1,Wild_pig,6.19221,7/6/2016,37
