Zone,Species,timeRad,ImageDate,LocationName
1,Wild_pig,0.57065,12/21/2015,43
1,Wild_pig,0.58178,12/21/2015,16
1,Wild_pig,0.75987,12/21/2015,16
1,Wild_pig,0.95906,12/21/2015,23
1,Wild_pig,0.97797,12/21/2015,16
1,Wild_pig,1.20559,12/21/2015,23
1,Wild_pig,1.23104,12/21/2015,16
1,Wild_pig,1.40463,12/21/2015,16
1,Wild_pig,1.53734,12/21/2015,16
1,Wild_pig,4.56782,12/21/2015,38
1,Wild_pig,4.73159,12/21/2015,30
1,Wild_pig,4.8222,12/21/2015,16
1,Wild_pig,5.51728,12/21/2015,16
1,Wild_pig,5.69785,12/21/2015,27
1,Wild_pig,5.70788,12/21/2015,40
1,Wild_pig,5.73537,12/21/2015,26
1,Wild_pig,6.09149,12/21/2015,16
1,Wild_pig,0.05389,12/22/2015,38
1,Wild_pig,0.15461,12/22/2015,35
1,Wild_pig,1.41561,12/22/2015,22
1,Wild_pig,1.74337,12/22/2015,39
1,Wild_pig,4.55604,12/22/2015,38
1,Wild_pig,4.6457,12/22/2015,18
1,Wild_pig,4.89674,12/22/2015,16
1,Wild_pig,5.09752,12/22/2015,16
1,Wild_pig,5.09898,12/22/2015,30
1,Wild_pig,5.13592,12/22/2015,27
1,Wild_pig,5.23701,12/22/2015,16
1,Wild_pig,5.25751,12/22/2015,12
1,Wild_pig,5.39736,12/22/2015,16
1,Wild_pig,5.43881,12/22/2015,39
1,Wild_pig,5.46164,12/22/2015,26
1,Wild_pig,5.76111,12/22/2015,16
1,Wild_pig,0.01934,12/23/2015,34
1,Wild_pig,0.72191,12/23/2015,14
1,Wild_pig,1.05483,12/23/2015,39
1,Wild_pig,1.32849,12/23/2015,14
1,Wild_pig,1.53036,12/23/2015,23
1,Wild_pig,1.64657,12/23/2015,21
1,Wild_pig,3.16203,12/23/2015,18
1,Wild_pig,3.92015,12/23/2015,37
1,Wild_pig,4.11454,12/23/2015,38
1,Wild_pig,4.46339,12/23/2015,37
1,Wild_pig,4.9147,12/23/2015,16
1,Wild_pig,4.9187,12/23/2015,15
1,Wild_pig,5.0096,12/23/2015,39
1,Wild_pig,5.08167,12/23/2015,27
1,Wild_pig,5.12392,12/23/2015,38
1,Wild_pig,5.40347,12/23/2015,16
1,Wild_pig,5.47917,12/23/2015,21
1,Wild_pig,5.602,12/23/2015,26
1,Wild_pig,5.7617,12/23/2015,35
1,Wild_pig,5.86809,12/23/2015,37
1,Wild_pig,5.91136,12/23/2015,38
1,Wild_pig,0.14246,12/24/2015,35
1,Wild_pig,0.34303,12/24/2015,35
1,Wild_pig,0.53509,12/24/2015,16
1,Wild_pig,0.9419,12/24/2015,38
1,Wild_pig,1.00087,12/24/2015,16
1,Wild_pig,1.09134,12/24/2015,36
1,Wild_pig,1.24115,12/24/2015,35
1,Wild_pig,1.75224,12/24/2015,20
1,Wild_pig,4.771,12/24/2015,38
1,Wild_pig,4.89209,12/24/2015,35
1,Wild_pig,5.06604,12/24/2015,35
1,Wild_pig,5.12385,12/24/2015,16
1,Wild_pig,5.31133,12/24/2015,16
1,Wild_pig,5.42434,12/24/2015,15
1,Wild_pig,5.43154,12/24/2015,10
1,Wild_pig,5.50033,12/24/2015,22
1,Wild_pig,5.51735,12/24/2015,29
1,Wild_pig,5.68323,12/24/2015,38
1,Wild_pig,5.8875,12/24/2015,23
1,Wild_pig,0.3455,12/25/2015,16
1,Wild_pig,0.44717,12/25/2015,29
1,Wild_pig,0.49589,12/25/2015,26
1,Wild_pig,0.50644,12/25/2015,34
1,Wild_pig,1.08829,12/25/2015,21
1,Wild_pig,1.17388,12/25/2015,33
1,Wild_pig,1.3887,12/25/2015,35
1,Wild_pig,1.69631,12/25/2015,35
1,Wild_pig,2.58214,12/25/2015,34
1,Wild_pig,4.57036,12/25/2015,23
1,Wild_pig,4.66796,12/25/2015,16
1,Wild_pig,4.95892,12/25/2015,27
1,Wild_pig,4.98699,12/25/2015,16
1,Wild_pig,5.27598,12/25/2015,40
1,Wild_pig,5.53262,12/25/2015,16
1,Wild_pig,5.55618,12/25/2015,40
1,Wild_pig,5.55764,12/25/2015,35
1,Wild_pig,5.74395,12/25/2015,27
1,Wild_pig,5.99302,12/25/2015,23
1,Wild_pig,6.02531,12/25/2015,34
1,Wild_pig,6.05942,12/25/2015,39
1,Wild_pig,0.02734,12/26/2015,8
1,Wild_pig,0.25569,12/26/2015,34
1,Wild_pig,0.47015,12/26/2015,34
1,Wild_pig,0.70599,12/26/2015,26
1,Wild_pig,0.9512,12/26/2015,14
1,Wild_pig,0.98749,12/26/2015,22
1,Wild_pig,1.81485,12/26/2015,26
1,Wild_pig,1.89877,12/26/2015,18
1,Wild_pig,2.00677,12/26/2015,22
1,Wild_pig,4.40477,12/26/2015,34
1,Wild_pig,4.71326,12/26/2015,38
1,Wild_pig,4.74453,12/26/2015,39
1,Wild_pig,4.91434,12/26/2015,16
1,Wild_pig,5.08589,12/26/2015,31
1,Wild_pig,5.35111,12/26/2015,16
1,Wild_pig,5.54164,12/26/2015,24
1,Wild_pig,5.60905,12/26/2015,16
1,Wild_pig,5.69959,12/26/2015,12
1,Wild_pig,6.17752,12/26/2015,27
1,Wild_pig,0.68308,12/27/2015,35
1,Wild_pig,2.16486,12/27/2015,34
1,Wild_pig,4.8734,12/27/2015,38
1,Wild_pig,5.07673,12/27/2015,39
1,Wild_pig,5.36863,12/27/2015,34
1,Wild_pig,5.61072,12/27/2015,27
1,Wild_pig,5.86307,12/27/2015,12
1,Wild_pig,6.18123,12/27/2015,35
1,Wild_pig,6.22028,12/27/2015,12
1,Wild_pig,0.04989,12/28/2015,14
1,Wild_pig,0.47633,12/28/2015,26
1,Wild_pig,0.58069,12/28/2015,21
1,Wild_pig,1.01811,12/28/2015,23
1,Wild_pig,1.35278,12/28/2015,23
1,Wild_pig,1.81936,12/28/2015,11
1,Wild_pig,1.89848,12/28/2015,37
1,Wild_pig,4.63938,12/28/2015,39
