Zone,Species,timeRad,ImageDate,Month,Day,Year,Time,LocationName
2,Wild_pig,0.04843,09/21/2015,9,21,2015,00:11:00,17
2,Wild_pig,0.59108,09/21/2015,9,21,2015,02:15:00,18
2,Wild_pig,1.494,09/21/2015,9,21,2015,05:42:00,46
2,Wild_pig,3.00088,09/21/2015,9,21,2015,11:27:00,8
2,Wild_pig,3.88561,09/21/2015,9,21,2015,14:50:00,8
2,Wild_pig,4.52688,09/21/2015,9,21,2015,17:17:00,18
2,Wild_pig,4.64047,09/21/2015,9,21,2015,17:43:00,30
2,Wild_pig,5.07411,09/21/2015,9,21,2015,19:22:00,7
2,Wild_pig,5.15308,09/21/2015,9,21,2015,19:41:00,8
2,Wild_pig,5.23584,09/21/2015,9,21,2015,19:59:00,16
2,Wild_pig,5.24864,09/21/2015,9,21,2015,20:02:00,18
2,Wild_pig,5.30282,09/21/2015,9,21,2015,20:15:00,37
2,Wild_pig,5.49204,09/21/2015,9,21,2015,20:58:00,29
2,Wild_pig,0.30565,09/21/2016,9,21,2016,01:10:03,24
2,Wild_pig,0.60956,09/21/2016,9,21,2016,02:19:42,29
2,Wild_pig,0.91353,09/21/2016,9,21,2016,03:29:22,18
2,Wild_pig,1.35096,09/21/2016,9,21,2016,05:09:37,11
2,Wild_pig,1.95659,09/21/2016,9,21,2016,07:28:25,31
2,Wild_pig,2.24042,09/21/2016,9,21,2016,08:33:28,18
2,Wild_pig,2.60192,09/21/2016,9,21,2016,09:56:19,30
2,Wild_pig,4.04844,09/21/2016,9,21,2016,03:27:50,39
2,Wild_pig,4.72337,09/21/2016,9,21,2016,06:02:31,29
2,Wild_pig,4.94728,09/21/2016,9,21,2016,06:53:50,28
2,Wild_pig,5.09091,09/21/2016,9,21,2016,07:26:45,6
2,Wild_pig,5.37307,09/21/2016,9,21,2016,08:31:25,45
2,Wild_pig,5.56266,09/21/2016,9,21,2016,09:14:52,18
2,Wild_pig,0.93448,09/22/2015,9,22,2015,03:34:00,8
2,Wild_pig,1.79936,09/22/2015,9,22,2015,06:52:00,8
2,Wild_pig,3.45139,09/22/2015,9,22,2015,13:11:00,8
2,Wild_pig,4.11527,09/22/2015,9,22,2015,15:43:00,7
2,Wild_pig,4.53386,09/22/2015,9,22,2015,17:19:00,6
2,Wild_pig,4.56375,09/22/2015,9,22,2015,17:25:00,18
2,Wild_pig,4.6961,09/22/2015,9,22,2015,17:56:00,8
2,Wild_pig,4.7201,09/22/2015,9,22,2015,18:01:00,17
2,Wild_pig,4.79929,09/22/2015,9,22,2015,18:19:00,18
2,Wild_pig,4.86692,09/22/2015,9,22,2015,18:35:00,46
2,Wild_pig,5.20079,09/22/2015,9,22,2015,19:51:00,38
2,Wild_pig,5.48004,09/22/2015,9,22,2015,20:55:00,32
2,Wild_pig,5.87478,09/22/2015,9,22,2015,22:26:00,28
2,Wild_pig,0.15744,09/22/2016,9,22,2016,12:36:05,17
2,Wild_pig,0.217,09/22/2016,9,22,2016,12:49:44,18
2,Wild_pig,1.40855,09/22/2016,9,22,2016,05:22:49,31
2,Wild_pig,4.19694,09/22/2016,9,22,2016,04:01:52,18
2,Wild_pig,4.88481,09/22/2016,9,22,2016,06:39:31,13
2,Wild_pig,4.9251,09/22/2016,9,22,2016,06:48:45,18
2,Wild_pig,4.93034,09/22/2016,9,22,2016,06:49:57,37
2,Wild_pig,5.05353,09/22/2016,9,22,2016,07:18:11,28
2,Wild_pig,5.29598,09/22/2016,9,22,2016,08:13:45,37
2,Wild_pig,5.35816,09/22/2016,9,22,2016,08:28:00,18
2,Wild_pig,5.69574,09/22/2016,9,22,2016,09:45:22,27
2,Wild_pig,5.96437,09/22/2016,9,22,2016,10:46:56,17
2,Wild_pig,6.18639,09/22/2016,9,22,2016,11:37:49,7
2,Wild_pig,1.45124,09/23/2015,9,23,2015,05:32:00,8
2,Wild_pig,1.66163,09/23/2015,9,23,2015,06:20:00,31
2,Wild_pig,3.01738,09/23/2015,9,23,2015,11:31:00,8
2,Wild_pig,3.7846,09/23/2015,9,23,2015,14:27:00,7
2,Wild_pig,4.12618,09/23/2015,9,23,2015,15:45:00,29
2,Wild_pig,4.59858,09/23/2015,9,23,2015,17:33:00,37
2,Wild_pig,4.72032,09/23/2015,9,23,2015,18:01:00,8
2,Wild_pig,4.90234,09/23/2015,9,23,2015,18:43:00,46
2,Wild_pig,5.19214,09/23/2015,9,23,2015,19:49:00,16
2,Wild_pig,5.29853,09/23/2015,9,23,2015,20:14:00,45
2,Wild_pig,5.31969,09/23/2015,9,23,2015,20:19:00,7
2,Wild_pig,0.16413,09/23/2016,9,23,2016,12:37:37,17
2,Wild_pig,1.66715,09/23/2016,9,23,2016,06:22:05,18
2,Wild_pig,2.10981,09/23/2016,9,23,2016,08:03:32,22
