Zone,Species,timeRad,ImageDate,Month,Day,Year,LocationName
2,Wild_pig,0.20471,3/21/2015,3,21,2015,6
2,Wild_pig,0.47713,3/21/2015,3,21,2015,6
2,Wild_pig,0.70809,3/21/2015,3,21,2015,11
2,Wild_pig,5.09243,3/21/2015,3,21,2015,13
2,Wild_pig,5.09905,3/21/2015,3,21,2015,14
2,Wild_pig,5.24115,3/21/2015,3,21,2015,6
2,Wild_pig,6.10698,3/21/2015,3,21,2015,6
2,Wild_pig,5.06029,3/21/2016,3,21,2016,34
2,Wild_pig,5.22348,3/21/2016,3,21,2016,25
2,Wild_pig,6.10422,3/21/2016,3,21,2016,10
2,Wild_pig,0.02,3/22/2015,3,22,2015,6
2,Wild_pig,0.29714,3/22/2015,3,22,2015,21
2,Wild_pig,0.56629,3/22/2015,3,22,2015,2
2,Wild_pig,0.82314,3/22/2015,3,22,2015,19
2,Wild_pig,1.00284,3/22/2015,3,22,2015,6
2,Wild_pig,1.25096,3/22/2015,3,22,2015,6
2,Wild_pig,1.34638,3/22/2015,3,22,2015,35
2,Wild_pig,1.52556,3/22/2015,3,22,2015,2
2,Wild_pig,4.57065,3/22/2015,3,22,2015,33
2,Wild_pig,5.07316,3/22/2015,3,22,2015,22
2,Wild_pig,0.50673,3/22/2016,3,22,2016,25
2,Wild_pig,5.69705,3/22/2016,3,22,2016,11
2,Wild_pig,0.5428,3/23/2015,3,23,2015,29
2,Wild_pig,2.15628,3/23/2015,3,23,2015,39
2,Wild_pig,2.82271,3/23/2015,3,23,2015,45
2,Wild_pig,3.31402,3/23/2015,3,23,2015,13
2,Wild_pig,4.53793,3/23/2015,3,23,2015,33
2,Wild_pig,5.16479,3/23/2015,3,23,2015,37
2,Wild_pig,6.25133,3/23/2015,3,23,2015,29
2,Wild_pig,0.35277,3/23/2016,3,23,2016,8
2,Wild_pig,0.50084,3/24/2015,3,24,2015,46
2,Wild_pig,0.97426,3/24/2015,3,24,2015,37
2,Wild_pig,1.58367,3/24/2015,3,24,2015,33
2,Wild_pig,4.30129,3/24/2015,3,24,2015,17
2,Wild_pig,4.3671,3/24/2015,3,24,2015,31
2,Wild_pig,4.64839,3/24/2015,3,24,2015,23
2,Wild_pig,4.75195,3/24/2015,3,24,2015,6
2,Wild_pig,4.80664,3/24/2015,3,24,2015,24
2,Wild_pig,4.95288,3/24/2015,3,24,2015,7
2,Wild_pig,5.02298,3/24/2015,3,24,2015,27
