Zone,Species,timeRad,ImageDate,Month,Day,Year,LocationName,
2,Wild_pig,0.35663,6/21/2015,6,21,2015,29,
2,Wild_pig,0.98247,6/21/2015,6,21,2015,42,
2,Wild_pig,1.04785,6/21/2015,6,21,2015,36,
2,Wild_pig,1.2194,6/21/2015,6,21,2015,33,
2,Wild_pig,1.55043,6/21/2015,6,21,2015,3,
2,Wild_pig,1.94066,6/21/2015,6,21,2015,2,
2,Wild_pig,4.77071,6/21/2015,6,21,2015,43,
2,Wild_pig,5.47539,6/21/2015,6,21,2015,41,
2,Wild_pig,5.59538,6/21/2015,6,21,2015,46,
2,Wild_pig,5.80635,6/21/2015,6,21,2015,12,
2,Wild_pig,6.04691,6/21/2015,6,21,2015,42,
2,Wild_pig,6.17992,6/21/2015,6,21,2015,39,
2,Wild_pig,0.0072,6/21/2016,6,21,2016,43,
2,Wild_pig,5.27388,6/21/2016,6,21,2016,39,
2,Wild_pig,0.58767,6/22/2015,6,22,2015,33,
2,Wild_pig,0.96677,6/22/2015,6,22,2015,24,
2,Wild_pig,1.51902,6/22/2015,6,22,2015,7,
2,Wild_pig,1.66868,6/22/2015,6,22,2015,34,
2,Wild_pig,4.59974,6/22/2015,6,22,2015,18,
2,Wild_pig,5.08873,6/22/2015,6,22,2015,33,
2,Wild_pig,5.58753,6/22/2015,6,22,2015,8,
2,Wild_pig,6.27388,6/22/2015,6,22,2015,8,
2,Wild_pig,0.13992,6/22/2016,6,22,2016,29,
2,Wild_pig,4.23671,6/22/2016,6,22,2016,2,
2,Wild_pig,5.15498,6/22/2016,6,22,2016,29,
2,Wild_pig,5.67108,6/22/2016,6,22,2016,30,
2,Wild_pig,6.16836,6/22/2016,6,22,2016,11,
2,Wild_pig,0.3399,6/23/2015,6,23,2015,42,
2,Wild_pig,0.36056,6/23/2015,6,23,2015,18,
2,Wild_pig,1.01185,6/23/2015,6,23,2015,8,
2,Wild_pig,2.09665,6/23/2015,6,23,2015,3,
