Zone,Species,timeRad,ImageDate,Month,Day,Year,Time,LocationName
2,Wild_pig,4.27962,1/1/2016,1,1,2016,16:20,36
2,Wild_pig,1.65435,1/1/2017,1,1,2017,6:19:09,17
2,Wild_pig,2.39234,1/1/2017,1,1,2017,9:08:17,6
2,Wild_pig,3.11883,1/1/2017,1,1,2017,11:54:47,5
2,Wild_pig,4.317,1/1/2017,1,1,2017,4:29:23,6
2,Wild_pig,4.53793,1/1/2017,1,1,2017,5:20:01,7
2,Wild_pig,2.66715,1/2/2016,1,2,2016,10:11,44
2,Wild_pig,3.9968,1/2/2016,1,2,2016,15:16,12
2,Wild_pig,5.64505,1/2/2016,1,2,2016,21:33,37
2,Wild_pig,2.09178,1/2/2017,1,2,2017,7:59:24,25
2,Wild_pig,3.64163,1/2/2017,1,2,2017,1:54:36,16
2,Wild_pig,3.8835,1/2/2017,1,2,2017,2:50:02,16
2,Wild_pig,4.45233,1/2/2017,1,2,2017,5:00:24,25
2,Wild_pig,5.20704,1/2/2017,1,2,2017,7:53:22,46
2,Wild_pig,2.65443,1/3/2016,1,3,2016,10:08,31
2,Wild_pig,3.45597,1/3/2016,1,3,2016,13:12,18
2,Wild_pig,3.63123,1/3/2016,1,3,2016,13:52,17
2,Wild_pig,4.62098,1/3/2016,1,3,2016,17:39,43
2,Wild_pig,0.55669,1/3/2017,1,3,2017,2:07:35,25
2,Wild_pig,0.6489,1/3/2017,1,3,2017,2:28:43,6
2,Wild_pig,1.10443,1/3/2017,1,3,2017,4:13:07,25
2,Wild_pig,2.56803,1/3/2017,1,3,2017,9:48:33,39
2,Wild_pig,2.78191,1/3/2017,1,3,2017,10:37:34,34
2,Wild_pig,3.25344,1/3/2017,1,3,2017,12:25:38,25
2,Wild_pig,4.25911,1/3/2017,1,3,2017,4:16:07,5
2,Wild_pig,4.37365,1/3/2017,1,3,2017,4:42:22,26
2,Wild_pig,6.1709,1/3/2017,1,3,2017,11:34:16,46
2,Wild_pig,3.68941,1/4/2016,1,4,2016,14:05,6
2,Wild_pig,4.42914,1/4/2016,1,4,2016,16:55,44
2,Wild_pig,0.38114,1/4/2017,1,4,2017,1:27:21,6
2,Wild_pig,0.80983,1/4/2017,1,4,2017,3:05:36,25
2,Wild_pig,1.01404,1/4/2017,1,4,2017,3:52:24,6
2,Wild_pig,1.56861,1/4/2017,1,4,2017,5:59:30,6
2,Wild_pig,2.23926,1/4/2017,1,4,2017,8:33:12,7
2,Wild_pig,3.62607,1/4/2017,1,4,2017,1:51:02,33
2,Wild_pig,3.73697,1/4/2017,1,4,2017,2:16:27,7
2,Wild_pig,5.27569,1/4/2017,1,4,2017,8:09:06,46
2,Wild_pig,4.49822,1/5/2016,1,5,2016,17:10,17
2,Wild_pig,4.58222,1/5/2016,1,5,2016,17:30,9
2,Wild_pig,4.58469,1/5/2016,1,5,2016,17:30,25
2,Wild_pig,2.73631,1/5/2017,1,5,2017,10:27:07,6
2,Wild_pig,3.38841,1/5/2017,1,5,2017,12:56:34,12
2,Wild_pig,3.42179,1/5/2017,1,5,2017,1:04:13,29
2,Wild_pig,2.61901,1/6/2016,1,6,2016,10:00,43
2,Wild_pig,2.91325,1/6/2016,1,6,2016,11:07,10
2,Wild_pig,3.86801,1/6/2016,1,6,2016,14:46,38
2,Wild_pig,4.40608,1/6/2016,1,6,2016,16:49,43
2,Wild_pig,1.54193,1/6/2017,1,6,2017,5:53:23,25
2,Wild_pig,1.83361,1/6/2017,1,6,2017,7:00:14,26
2,Wild_pig,2.14763,1/6/2017,1,6,2017,8:12:12,6
2,Wild_pig,2.45648,1/6/2017,1,6,2017,9:22:59,16
2,Wild_pig,3.81609,1/6/2017,1,6,2017,2:34:35,14
2,Wild_pig,4.1773,1/6/2017,1,6,2017,3:57:22,6
2,Wild_pig,4.41561,1/6/2017,1,6,2017,4:51:59,6
2,Wild_pig,4.81165,1/6/2017,1,6,2017,6:22:45,7
2,Wild_pig,2.74628,1/7/2016,1,7,2016,10:29,6
2,Wild_pig,2.7894,1/7/2016,1,7,2016,10:39,20
2,Wild_pig,3.25904,1/7/2016,1,7,2016,12:26,30
2,Wild_pig,3.27191,1/7/2016,1,7,2016,12:29,28
2,Wild_pig,4.49619,1/7/2016,1,7,2016,17:10,11
2,Wild_pig,0.42084,1/7/2017,1,7,2017,1:36:27,19
2,Wild_pig,0.5713,1/7/2017,1,7,2017,2:10:56,17
2,Wild_pig,0.64606,1/7/2017,1,7,2017,2:28:04,6
2,Wild_pig,1.23897,1/7/2017,1,7,2017,4:43:57,6
2,Wild_pig,2.93833,1/7/2017,1,7,2017,11:13:25,7
2,Wild_pig,3.10138,1/7/2017,1,7,2017,11:50:47,6
