"","Indiv_ID","Season","Indiv_ID.1","CollarType","Fix_DateTime","DOP","Sex","UTM","X","Y","Lat","Long","DistBet","TimeBet","t"
"1","F001","Spring16","F001_Spring16","3300","2016/03/21 00:01",14.8,"F",11,345613.9426,3868802.997,34.9499961,-118.6907583,115,150,25110
"2","F001","Spring16","F001_Spring16","3300","2016/03/21 02:31",15.5,"F",11,345501.5992,3868778.426,34.9497575,-118.6919836,60.6,29,25139
"3","F001","Spring16","F001_Spring16","3300","2016/03/21 03:00",4,"F",11,345450.3542,3868746.099,34.9494583,-118.6925386,62.2,31,25170
"4","F001","Spring16","F001_Spring16","3300","2016/03/21 03:31",4.4,"F",11,345494.1857,3868702,34.9490675,-118.6920506,71.1,329,25499
"5","F001","Spring16","F001_Spring16","3300","2016/03/21 09:00",13.9,"F",11,345507.4525,3868771.826,34.9496989,-118.6919183,85.4,180,25679
"6","F001","Spring16","F001_Spring16","3300","2016/03/21 12:00",2.7,"F",11,345484.3846,3868689.618,34.9489544,-118.6921556,4.2,31,25710
"7","F001","Spring16","F001_Spring16","3300","2016/03/21 12:31",3.5,"F",11,345486.6278,3868693.164,34.9489867,-118.6921317,9.2,29,25739
"8","F001","Spring16","F001_Spring16","3300","2016/03/21 13:00",3.5,"F",11,345487.6696,3868684.015,34.9489044,-118.6921186,12.8,32,25771
"9","F001","Spring16","F001_Spring16","3300","2016/03/21 13:32",3.2,"F",11,345477.7305,3868692.083,34.9489756,-118.6922289,310.5,29,25800
"10","F001","Spring16","F001_Spring16","3300","2016/03/21 14:01",2.4,"F",11,345784.7443,3868645.688,34.9486042,-118.6888594,90.4,30,25830
"11","F001","Spring16","F001_Spring16","3300","2016/03/21 14:31",3.7,"F",11,345713.958,3868701.889,34.9491,-118.6896447,43.8,30,25860
"12","F001","Spring16","F001_Spring16","3300","2016/03/21 15:01",2.3,"F",11,345746.1223,3868731.667,34.9493733,-118.6892981,33.8,60,25920
"13","F001","Spring16","F001_Spring16","3300","2016/03/21 16:01",2.9,"F",11,345757.6702,3868699.853,34.9490883,-118.6891658,28.5,60,25980
"14","F001","Spring16","F001_Spring16","3300","2016/03/21 17:01",11.7,"F",11,345731.3852,3868710.959,34.9491844,-118.6894556,97.1,120,26100
"15","F001","Spring16","F001_Spring16","3300","2016/03/21 19:01",6.3,"F",11,345640.8412,3868746.083,34.9494872,-118.6904533,61.2,30,26130
"16","F001","Spring16","F001_Spring16","3300","2016/03/21 19:31",2.5,"F",11,345701.9929,3868747.922,34.9495131,-118.6897842,19.9,120,26250
"17","F001","Spring16","F001_Spring16","3300","2016/03/21 21:31",2.7,"F",11,345719.6516,3868738.804,34.9494336,-118.6895892,8.6,30,26280
"18","F001","Spring16","F001_Spring16","3300","2016/03/21 22:01",2.5,"F",11,345727.8278,3868736.136,34.9494108,-118.6894992,20.3,29,26309
"19","F001","Spring16","F001_Spring16","3300","2016/03/21 22:30",5.2,"F",11,345709.4658,3868727.416,34.9493294,-118.6896986,128.2,181,26490
"20","F001","Spring16","F001_Spring16","3300","2016/03/22 01:31",3.8,"F",11,345817.196,3868657.865,34.9487189,-118.6885064,333.6,570,27060
"21","F001","Spring16","F001_Spring16","3300","2016/03/22 11:01",3.6,"F",11,345487.3267,3868707.475,34.9491158,-118.6921267,52.2,150,27210
"22","F001","Spring16","F001_Spring16","3300","2016/03/22 13:31",4.2,"F",11,345481.5066,3868655.585,34.9486472,-118.6921808,138.8,60,27270
"23","F001","Spring16","F001_Spring16","3300","2016/03/22 14:31",2.3,"F",11,345604.7106,3868719.457,34.9492417,-118.6908439,49.9,30,27300
"24","F001","Spring16","F001_Spring16","3300","2016/03/22 15:01",2.2,"F",11,345651.6156,3868736.626,34.9494036,-118.6903336,29.6,30,27330
"25","F001","Spring16","F001_Spring16","3300","2016/03/22 15:31",4.6,"F",11,345630.7541,3868715.688,34.9492117,-118.6905581,24,30,27360
"26","F001","Spring16","F001_Spring16","3300","2016/03/22 16:01",3.2,"F",11,345620.7481,3868693.879,34.9490136,-118.6906636,142.2,450,27810
