Indiv_ID,Season,Indiv_ID,CollarType,Fix_DateTime,DOP,Sex,UTM,X,Y,Lat,Long,DistBet,TimeBet,t
F014,Winter17,F014_Winter17,3300,2016/12/21 00:00,4.3,F,11,345685.0086,3863873.419,34.9055736,-118.6890692,2,30,846987
F014,Winter17,F014_Winter17,3300,2016/12/21 00:30,2.3,F,11,345685.4251,3863875.353,34.9055911,-118.689065,3.9,29.99999999,847017
F014,Winter17,F014_Winter17,3300,2016/12/21 01:00,2.4,F,11,345688.9254,3863873.719,34.9055769,-118.6890264,3.5,30,847047
F014,Winter17,F014_Winter17,3300,2016/12/21 01:30,2.9,F,11,345690.8873,3863870.823,34.9055511,-118.6890044,5.6,30,847077
F014,Winter17,F014_Winter17,3300,2016/12/21 02:00,1.8,F,11,345686.6305,3863867.167,34.9055175,-118.6890503,57.9,29.99999999,847107
F014,Winter17,F014_Winter17,3300,2016/12/21 02:30,5.1,F,11,345694.1427,3863809.716,34.9050008,-118.6889575,9.7,30,847137
F014,Winter17,F014_Winter17,3300,2016/12/21 03:00,2.6,F,11,345703.7892,3863811.04,34.9050142,-118.6888522,11.5,30,847167
F014,Winter17,F014_Winter17,3300,2016/12/21 03:30,2.4,F,11,345694.1133,3863817.183,34.9050681,-118.6889592,128.9,29.99999999,847197
F014,Winter17,F014_Winter17,3300,2016/12/21 04:00,4.3,F,11,345675.9589,3863944.819,34.9062158,-118.6891814,117.8,31.00000001,847228
F014,Winter17,F014_Winter17,3300,2016/12/21 04:31,3.2,F,11,345593.3189,3864028.711,34.9069594,-118.6901011,15.9,29,847257
F014,Winter17,F014_Winter17,3300,2016/12/21 05:00,2.5,F,11,345577.7031,3864031.626,34.9069833,-118.6902725,11.9,29.99999999,847287
F014,Winter17,F014_Winter17,3300,2016/12/21 05:30,2.7,F,11,345568.2408,3864024.419,34.9069169,-118.6903747,48.9,30,847317
F014,Winter17,F014_Winter17,3300,2016/12/21 06:00,2.3,F,11,345614.1933,3864041.15,34.9070747,-118.689875,20.3,30,847347
F014,Winter17,F014_Winter17,3300,2016/12/21 06:30,2.5,F,11,345594.1619,3864038.038,34.9070436,-118.6900936,8.5,29.99999999,847377
F014,Winter17,F014_Winter17,3300,2016/12/21 07:00,2.9,F,11,345600.4016,3864043.846,34.9070969,-118.6900264,19.6,30,847407
F014,Winter17,F014_Winter17,3300,2016/12/21 07:30,2.4,F,11,345609.1245,3864061.394,34.9072564,-118.6899342,17.1,30,847437
F014,Winter17,F014_Winter17,3300,2016/12/21 08:00,2.8,F,11,345614.1807,3864077.761,34.9074047,-118.6898819,21.9,29.99999999,847467
F014,Winter17,F014_Winter17,3300,2016/12/21 08:30,2.8,F,11,345624.3063,3864097.194,34.9075814,-118.6897747,48.8,30,847497
F014,Winter17,F014_Winter17,3300,2016/12/21 09:00,2.8,F,11,345601.3166,3864054.192,34.9071903,-118.6900183,45.8,30,847527
F014,Winter17,F014_Winter17,3300,2016/12/21 09:30,3.3,F,11,345555.7465,3864049.814,34.9071439,-118.6905161,227.2,31,847558
