study_site,month_str,month_num,avg_max_temp,avg_min_temp,avg_temp,avg_total_precip,period_start_year,period_end_year,station_coords_lat,station_coords_lon,station_elevation(meters),station_id,url
Archbold,January,1,75,47.8,61.4,2.18,1991,2020,27.1819,-81.3508,42.7,USC00080236,https://www.ncei.noaa.gov/access/homr/#ncdcstnid=20004342&tab=MSHR
Archbold,February,2,78.4,50,64.2,2.25,1991,2020,27.1819,-81.3508,42.7,USC00080236,https://www.ncei.noaa.gov/access/homr/#ncdcstnid=20004342&tab=MSHR
Archbold,March,3,81.7,52.4,67.1,2.87,1991,2020,27.1819,-81.3508,42.7,USC00080236,https://www.ncei.noaa.gov/access/homr/#ncdcstnid=20004342&tab=MSHR
Archbold,April,4,86.3,57.1,71.7,2.54,1991,2020,27.1819,-81.3508,42.7,USC00080236,https://www.ncei.noaa.gov/access/homr/#ncdcstnid=20004342&tab=MSHR
Archbold,May,5,90.3,62.2,76.3,4.36,1991,2020,27.1819,-81.3508,42.7,USC00080236,https://www.ncei.noaa.gov/access/homr/#ncdcstnid=20004342&tab=MSHR
Archbold,June,6,92.2,68.7,80.5,8.85,1991,2020,27.1819,-81.3508,42.7,USC00080236,https://www.ncei.noaa.gov/access/homr/#ncdcstnid=20004342&tab=MSHR
Archbold,July,7,93.3,70.1,81.7,8.34,1991,2020,27.1819,-81.3508,42.7,USC00080236,https://www.ncei.noaa.gov/access/homr/#ncdcstnid=20004342&tab=MSHR
Archbold,August,8,93.4,70.9,82.1,8.49,1991,2020,27.1819,-81.3508,42.7,USC00080236,https://www.ncei.noaa.gov/access/homr/#ncdcstnid=20004342&tab=MSHR
Archbold,September,9,91.2,70.2,80.7,7.17,1991,2020,27.1819,-81.3508,42.7,USC00080236,https://www.ncei.noaa.gov/access/homr/#ncdcstnid=20004342&tab=MSHR
Archbold,October,10,87.3,64.2,75.7,3.41,1991,2020,27.1819,-81.3508,42.7,USC00080236,https://www.ncei.noaa.gov/access/homr/#ncdcstnid=20004342&tab=MSHR
Archbold,November,11,81.1,56.6,68.9,1.74,1991,2020,27.1819,-81.3508,42.7,USC00080236,https://www.ncei.noaa.gov/access/homr/#ncdcstnid=20004342&tab=MSHR
Archbold,December,12,77,51.9,64.4,2.03,1991,2020,27.1819,-81.3508,42.7,USC00080236,https://www.ncei.noaa.gov/access/homr/#ncdcstnid=20004342&tab=MSHR
Sandberg,January,1,52.3,38.6,45.4,2.5,1991,2020,34.74361,-118.72528,1374,USW00023187,https://www.ncei.noaa.gov/access/homr/#ncdcstnid=20001957&tab=MSHR
Sandberg,February,2,53,38.3,45.7,3.72,1991,2020,34.74361,-118.72528,1374,USW00023187,https://www.ncei.noaa.gov/access/homr/#ncdcstnid=20001957&tab=MSHR
Sandberg,March,3,57.3,40.6,48.9,1.96,1991,2020,34.74361,-118.72528,1374,USW00023187,https://www.ncei.noaa.gov/access/homr/#ncdcstnid=20001957&tab=MSHR
Sandberg,April,4,62,42.7,52.3,0.76,1991,2020,34.74361,-118.72528,1374,USW00023187,https://www.ncei.noaa.gov/access/homr/#ncdcstnid=20001957&tab=MSHR
Sandberg,May,5,70.2,49.2,59.7,0.41,1991,2020,34.74361,-118.72528,1374,USW00023187,https://www.ncei.noaa.gov/access/homr/#ncdcstnid=20001957&tab=MSHR
Sandberg,June,6,79.9,57.5,68.7,0.08,1991,2020,34.74361,-118.72528,1374,USW00023187,https://www.ncei.noaa.gov/access/homr/#ncdcstnid=20001957&tab=MSHR
Sandberg,July,7,87.7,64.8,76.3,0.09,1991,2020,34.74361,-118.72528,1374,USW00023187,https://www.ncei.noaa.gov/access/homr/#ncdcstnid=20001957&tab=MSHR
Sandberg,August,8,88.3,65.3,76.8,0.06,1991,2020,34.74361,-118.72528,1374,USW00023187,https://www.ncei.noaa.gov/access/homr/#ncdcstnid=20001957&tab=MSHR
Sandberg,September,9,82.7,61.2,72,0.13,1991,2020,34.74361,-118.72528,1374,USW00023187,https://www.ncei.noaa.gov/access/homr/#ncdcstnid=20001957&tab=MSHR
Sandberg,October,10,71.3,52.5,61.9,0.6,1991,2020,34.74361,-118.72528,1374,USW00023187,https://www.ncei.noaa.gov/access/homr/#ncdcstnid=20001957&tab=MSHR
Sandberg,November,11,59.9,44,51.9,0.78,1991,2020,34.74361,-118.72528,1374,USW00023187,https://www.ncei.noaa.gov/access/homr/#ncdcstnid=20001957&tab=MSHR
Sandberg,December,12,51.6,37.6,44.6,2.05,1991,2020,34.74361,-118.72528,1374,USW00023187,https://www.ncei.noaa.gov/access/homr/#ncdcstnid=20001957&tab=MSHR
